Endpoint             Methods  Rule                                     
-------------------  -------  -----------------------------------------
appointment.create   POST     /appointments/new                        
appointment.delete   POST     /appointments/<int:appointment_id>/delete
appointment.edit     GET      /appointments/<int:appointment_id>/edit  
appointment.index    GET      /appointments/                           
appointment.new      GET      /appointments/new                        
appointment.update   POST     /appointments/<int:appointment_id>/edit  
appointment.view     GET      /appointments/<int:appointment_id>       
audit.index          GET      /audit-logs/                             
audit.view           GET      /audit-logs/<int:audit_id>               
auth.login           POST     /login                                   
auth.login_page      GET      /login                                   
auth.logout          GET      /logout                                  
dashboard.dashboard  GET      /dashboard                               
dev.forms            GET      /dev/forms                               
doctor.create        POST     /doctors/new                             
doctor.delete        POST     /doctors/<int:doctor_id>/delete          
doctor.edit          GET      /doctors/<int:doctor_id>/edit            
doctor.index         GET      /doctors/                                
doctor.new           GET      /doctors/new                             
doctor.show          GET      /doctors/<int:doctor_id>                 
doctor.update        POST     /doctors/<int:doctor_id>/edit            
home.home            GET      /                                        
patient.create       POST     /patients/new                            
patient.delete       POST     /patients/<int:patient_id>/delete        
patient.edit         GET      /patients/<int:patient_id>/edit          
patient.index        GET      /patients/                               
patient.new          GET      /patients/new                            
patient.update       POST     /patients/<int:patient_id>/edit          
patient.view         GET      /patients/<int:patient_id>               
record.create        POST     /records/new                             
record.delete        POST     /records/<int:record_id>/delete          
record.edit          GET      /records/<int:record_id>/edit            
record.index         GET      /records/                                
record.new           GET      /records/new                             
record.update        POST     /records/<int:record_id>/edit            
record.view          GET      /records/<int:record_id>                 
static               GET      /static/<path:filename>                  
